정제키,채널수,총행수,대표세부판단유형,세부판단유형목록,콘텐츠마스터_fuzzy_overlay,판매채널목록,원문예시,대표근거
색녀여사장의유혹,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,한아름(P000003716),색녀 여사장의 유혹,B_잠재오염_정산정보없음::206922::113789::색녀 여사장의 유혹
세명의병신과나,1,1,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1)",,구글(소설),[19금] 세 명의 병신과 나 1권,
섹스공화국,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,한아름(P000003716),섹스 공화국(제4회 아이작가 S문학 공모당선작),A_정산서등장_정산정보없음::163764::160397::섹스공화국
섹스확률이다보임,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,교보문고(소설),섹스 확률(%)이 다 보임,원스토어(소설)::275943 || 리디북스(소설)::275943 || 판무림::275943 || 블라이스_일반결제::275943 || 무툰(소설 서비스)::275943
소,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),소 [단행본],B_잠재오염_정산정보없음::207497::113906::소(笑)
소야,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),소야 [단행본],A_정산서등장_정산정보없음::207769::113976::소야
수를읽는남자세상을바꾸는컨설턴트,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,판무림,수를 읽는 남자 : 세상을 바꾸는 컨설턴트,문피아::107817 || 네이버_장르::107817 || 스낵북(알에스)::107817 || 블라이스_일반결제::107817 || 카카오페이지(창작지원금)::107817
신,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),신 [단행본],B_잠재오염_정산정보없음::208682::114119::신(神) || B_잠재오염_정산정보없음::208715::114122::신[神] (무삭제판)
신마열전,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,에피루스 이북클럽(B2C),신마열전 1,B_잠재오염_정산정보없음::568295::114138::신마열전
신초류향,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),신 초류향 [단행본],A_정산서등장_정산정보없음::163372::160174::신초류향
신협,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),신협 [단행본],B_잠재오염_정산정보없음::163373::160175::신협
실명작,1,1,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1)",,카카오페이지(소설),실명 3부작 [완결],
실화엄마친구랑,1,1,"콘텐츠마스터 있음, 판매채널/지급정산 신규 판단","콘텐츠마스터 있음, 판매채널/지급정산 신규 판단(1)",,원스토어(소설),<실화> 엄마친구랑,246849::<실화>엄마친구랑::소설편집팀::이선근
십왕책,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,무툰(소설 서비스),십왕책(개정판),A_정산서등장_정산정보없음::209371::114204::십왕책(개정판)
아내의간통현장,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,원스토어(소설),아내의 간통현장,B_잠재오염_정산정보없음::489675::247492::아내의간통현장
아름다운날들의고백,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,한아름(P000003716),아름다운 날들의 고백,B_잠재오염_정산정보없음::889280::114261::아름다운 날들의 고백(개정판)
아름북스inapp,1,1,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1)",,한아름(P000003716),아름북스 inapp,
아름북스web,1,1,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1)",,한아름(P000003716),아름북스 web,
아름북스일반합계,1,1,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1)",,한아름(P000003716),아름북스 일반 합계,
아사벼리이지환로맨스소설,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,카카오페이지(소설),아사벼리 - 이지환  로맨스소설 [완결],B_잠재오염_정산정보없음::589646::295496::아사벼리 - 이지환  로맨스소설 [완결]
야색계,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,Yes24(서점),야색계 (野色計) (합본),246522::야색계(野色計)::웹툰사업부::박민지
야야,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),야야 [단행본],A_정산서등장_정산정보없음::210674::114422::야야(野爺)
야한규칙으로다따먹음,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,네이버_장르,야한 규칙으로 다 따먹음 [단행본],324335::0_야한규칙으로 다 따먹음_파워레인젖_일반::소설편집팀::조원재
어웨이큰분노의학살자,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,네이버_장르,어웨이큰 - 분노의 학살자 [단행본],Yes24(웹툰)::295610 || Yes24(시프트북스)::295610 || Yes24(서점)::295610 || OPMS::295610 || EDITIO::295610
여대생길들이기,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,구글(소설),여대생 길들이기 1권,알라딘(소설)(1068659313)::110052 || Yes24(서점)::110052 || 문피아::110052 || 블라이스_일반결제::110052 || 미스터블루(소설)::110052
여자들이집착하는축구선수가되었다,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,구글(소설),여자들이 집착하는 축구 선수가 되었다 1권,에피루스 이북클럽(B2C)::320890 || 카카오페이지(창작지원금)::320890 || 모픽(mofic)::320890 || 스낵북(알에스)::320890 || 북팔(소설)::320890
여후배의최면남선배,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,알라딘(소설)(1068659313),"여후배의 최면, 남선배 1",구글(소설)::114556 || Yes24(서점)::114556 || 밀리의 서재::114556 || 블라이스 셀렉트::114556 || 윌라(전자책)::114556
연기를너무잘함,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,모픽(mofic),연기를 너무 잘함,유페이퍼::107827 || 토스(소설)::107827 || 판무림::107827 || 네이버_연재(광고수익)::107827 || 미스터블루(소설)::107827
열정시대,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),열정시대 [단행본],A_정산서등장_정산정보없음::163404::160192::열정시대
열풍,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),열풍[무삭제판] [단행본],A_정산서등장_정산정보없음::211852::114630::열풍[무삭제판]
오래전에,1,1,"콘텐츠마스터 없음, 원천 작품 확인","콘텐츠마스터 없음, 원천 작품 확인(1)",,구글(소설),[BL] 오래전에 1권,
옷깃인연,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),옷깃인연 [단행본],B_잠재오염_정산정보없음::488948::247192::옷깃인연
외도전설마법소녀조교기,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,윌라(전자책),외도 전설 마법소녀 조교기 3,밀리의 서재::107829 || 블라이스_일반결제::107829 || 미스터블루(소설)::107829 || 구글(소설)::107829 || 알라딘(소설)(1068659313)::107829
요마겁,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),요마겁 [단행본],A_정산서등장_정산정보없음::565484::114756::요마겁
용병왕패러렐월드,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),용병왕 패러렐월드 [단행본],B_잠재오염_정산정보없음::163186::160098::용병왕패러렐월드
운명을거부하는여자,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),운명을 거부하는 여자 [단행본],B_잠재오염_정산정보없음::163709::160346::운명을거부하는여자
원나잇노썸씽,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,카카오페이지(소설),원나잇 노썸씽,A_정산서등장_정산정보없음::490566::123695::원나잇 노썸씽 || A_정산서등장_정산정보없음::700510::318202::원나잇 노썸씽(15세 개정판)
웰컴투메모리,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,네이버_연재,웰컴 투 메모리,카카오페이지(선투자)::114870 || 모픽(mofic)::114870 || 리디북스(이벤트)::114870 || 웹소설 하이북::114870 || 교보문고(소설)::114870
유견추월심망연,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),유견추월심망연 [단행본],B_잠재오염_정산정보없음::213727::114899::유견추월심망연
유령의노래,1,1,"콘텐츠마스터 있음, 판매채널/지급정산 신규 판단","콘텐츠마스터 있음, 판매채널/지급정산 신규 판단(1)",,리디북스(소설),[e북]유령의 노래,114905::[정산정보없음]_유령의 노래::소설편집팀::이선근
이세계영주생활,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,네이버_연재,이세계 영주 생활,Yes24(웹툰)::327957 || Yes24(시프트북스)::327957 || Yes24(서점)::327957 || OPMS::327957 || EDITIO::327957
이악당은이제제겁니다,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,네이버_연재,이 악당은 이제 제 겁니다 [독점],A_정산서등장_정산정보없음::115650::114975::이 악당은 이제 제 겁니다
인간자체가강함,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,모픽(mofic),인간 자체가 강함,303871::[CP오디오] 인간 자체가 강함(소설)::IP프로듀싱팀::노종아
재벌가차남은먼치킨,1,1,타채널 지급정산 기반 해당채널 보강 판단,타채널 지급정산 기반 해당채널 보강 판단(1),,네이버_장르,재벌가 차남은 먼치킨 [단행본],303841::[CP오디오] 재벌가 차남은 먼치킨(소설)::IP프로듀싱팀::노종아
절대마조,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),절대마조 [단행본],A_정산서등장_정산정보없음::215946::115305::절대마조
절대쌍웅,1,1,같은채널 판매채널콘텐츠 있음(A급 정산정보없음),같은채널 판매채널콘텐츠 있음(A급 정산정보없음)(1),,미스터블루(소설),절대쌍웅 [단행본],A_정산서등장_정산정보없음::858785::115311::절대쌍웅
제세성존,1,1,같은채널 판매채널콘텐츠 있음(B급 잠재오염),같은채널 판매채널콘텐츠 있음(B급 잠재오염)(1),,미스터블루(소설),제세성존 [단행본],B_잠재오염_정산정보없음::216313::115366::제세성존
