세부판단유형,원판단유형,판매채널,정제키,행수,원문예시,같은채널_판매채널콘텐츠_근거,콘텐츠마스터_근거,타채널_지급정산_근거,기존대표근거,권고
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,네이버_장르,마법배운재벌집늦둥이,1,마법 배운 재벌집 늦둥이 [단행본],,,카카오페이지(선투자)::112857 || 노벨피아 (소설)::112857 || 모픽(mofic)::112857 || 에이블리(소설)::112857 || 미스터블루(소설)::112857,카카오페이지(선투자)::마법 배운 재벌집 늦둥이::112857 || 노벨피아 (소설)::마법 배운 재벌집 늦둥이::112857 || 모픽(mofic)::마법 배운 재벌집 늦둥이::112857 || 에이블리(소설)::마법 배운 재벌집 늦둥이::112857 || 미스터블루(소설)::마법 배운 재벌집 늦둥이::112857,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,네이버_장르,마왕이나노머신을숨김,1,마왕이 나노머신을 숨김 [단행본],,317038::[카카오]마왕이 나노머신을 숨김 단행본::소설유통팀::김성경,모픽(mofic)::317038 || 미스터블루(소설)::317038 || 카카오페이지(선투자)::317038 || 리디북스(이벤트)::317038 || 카카오페이지(창작지원금)::317038,모픽(mofic)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 미스터블루(소설)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(선투자)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 리디북스(이벤트)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(창작지원금)::[카카오]마왕이 나노머신을 숨김 단행본::317038,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,네이버_장르,말년에이계라니,1,말년에 이계라니,,,Yes24(웹툰)::110760 || Yes24(시프트북스)::110760 || Yes24(서점)::110760 || OPMS::110760 || EDITIO::110760,Yes24(웹툰)::말년에 이계라니::110760 || Yes24(시프트북스)::말년에 이계라니::110760 || Yes24(서점)::말년에 이계라니::110760 || OPMS::말년에 이계라니::110760 || EDITIO::말년에 이계라니::110760,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,네이버_장르,미생법사,1,미생법사 [단행본],,,Yes24(웹툰)::318052 || Yes24(시프트북스)::318052 || Yes24(서점)::318052 || OPMS::318052 || EDITIO::318052,Yes24(웹툰)::미생법사::318052 || Yes24(시프트북스)::미생법사::318052 || Yes24(서점)::미생법사::318052 || OPMS::미생법사::318052 || EDITIO::미생법사::318052,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,네이버_장르,보스몹이너무강함,1,보스 몹이 너무 강함 [단행본],,,Yes24(웹툰)::327782 || Yes24(시프트북스)::327782 || Yes24(서점)::327782 || OPMS::327782 || EDITIO::327782,Yes24(웹툰)::보스 몹이 너무 강함::327782 || Yes24(시프트북스)::보스 몹이 너무 강함::327782 || Yes24(서점)::보스 몹이 너무 강함::327782 || OPMS::보스 몹이 너무 강함::327782 || EDITIO::보스 몹이 너무 강함::327782,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,네이버_장르,슈퍼스타누구도막을수없어,1,"슈퍼스타, 누구도 막을 수 없어!!!!!! [단행본]",,303817::[CP오디오] 슈퍼스타 누구도 막을 수 없어(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::110469 || 윌라(오디오북)::110469,"카카오페이지(소설)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469 || 윌라(오디오북)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469",타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,네이버_장르,아포칼립스의유일한플레이어,1,아포칼립스의 유일한 플레이어 [단행본],,,카카오페이지(소설)::308483,카카오페이지(소설)::아포칼립스의 유일한 플레이어::308483,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,채널 보강 판단,네이버_장르,야한규칙으로다따먹음,1,야한 규칙으로 다 따먹음 [단행본],,324335::0_야한규칙으로 다 따먹음_파워레인젖_일반::소설편집팀::조원재,구글(소설)::324335 || 에피루스 이북클럽(B2C)::324335 || Yes24(서점)::324335 || 알라딘(소설)(1068659313)::324335 || 블라이스_일반결제::324335,Yes24(서점) / 0_야한규칙으로 다 따먹음_파워레인젖_일반 / 0.91,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,네이버_장르,어웨이큰분노의학살자,1,어웨이큰 - 분노의 학살자 [단행본],,,Yes24(웹툰)::295610 || Yes24(시프트북스)::295610 || Yes24(서점)::295610 || OPMS::295610 || EDITIO::295610,Yes24(웹툰)::어웨이큰 - 분노의 학살자::295610 || Yes24(시프트북스)::어웨이큰 - 분노의 학살자::295610 || Yes24(서점)::어웨이큰 - 분노의 학살자::295610 || OPMS::어웨이큰 - 분노의 학살자::295610 || EDITIO::어웨이큰 - 분노의 학살자::295610,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,네이버_장르,인더프라이빗룸,1,인 더 프라이빗 룸 [BL][단행본],,325566::[봄툰e북]인 더 프라이빗 룸 (In The Private Room)::봄툰소설편집팀::배지은 || 115085::인 더 프라이빗 룸(In The Private Room) 외전2::봄툰소설편집팀::배지은 || 115084::인 더 프라이빗 룸(In The Private Room) 외전1::봄툰소설편집팀::배지은 || 115082::인 더 프라이빗 룸(In The Private Room) 세트 (외전 포함)::봄툰소설편집팀::배지은 || 108310::[봄툰] 인 더 프라이빗 룸(In the private room)::봄툰소설편집팀::배지은,로망띠끄::115084 || 로망띠끄::115085 || 원스토어(소설)::115085 || 원스토어(소설)::115084 || Yes24(서점)::115085,로망띠끄::인 더 프라이빗 룸(In The Private Room) 외전1::115084 || 로망띠끄::인 더 프라이빗 룸(In The Private Room) 외전2::115085 || 원스토어(소설)::인 더 프라이빗 룸(In The Private Room) 외전2::115085 || 원스토어(소설)::인 더 프라이빗 룸(In The Private Room) 외전1::115084 || Yes24(서점)::인 더 프라이빗 룸(In The Private Room) 외전2::115085,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,네이버_장르,재벌가차남은먼치킨,1,재벌가 차남은 먼치킨 [단행본],,303841::[CP오디오] 재벌가 차남은 먼치킨(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::108157 || 네이버_연재::108157 || Yes24(웹툰)::108157 || Yes24(시프트북스)::108157 || Yes24(서점)::108157,카카오페이지(소설)::재벌가 차남은 먼치킨::108157 || 네이버_연재::재벌가 차남은 먼치킨::108157 || Yes24(웹툰)::재벌가 차남은 먼치킨::108157 || Yes24(시프트북스)::재벌가 차남은 먼치킨::108157 || Yes24(서점)::재벌가 차남은 먼치킨::108157,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,네이버_장르,전생에천마였던드래곤,1,전생에 천마였던 드래곤 [단행본],,,노벨피아 (소설)::295600 || 블라이스_일반결제::295600 || 에피루스 이북클럽(B2C)::295600 || 미스터블루(소설)::295600 || 네이버_장르(광고수익)::295600,노벨피아 (소설)::전생에 천마였던 드래곤::295600 || 블라이스_일반결제::전생에 천마였던 드래곤::295600 || 에피루스 이북클럽(B2C)::전생에 천마였던 드래곤::295600 || 미스터블루(소설)::전생에 천마였던 드래곤::295600 || 네이버_장르(광고수익)::전생에 천마였던 드래곤::295600,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,네이버_장르,전직랭커는템빨로레벨업,1,전직 랭커는 템빨로 레벨 업! [단행본],,317605::(카카오)전직 랭커는 템빨로 레벨 업!::소설유통팀::김성경 || 303878::[CP오디오] 전직 랭커는 템빨로 레벨 업!(소설)::IP프로듀싱팀::노종아,모픽(mofic)::317605 || 카카오페이지(선투자)::317605 || 토스(소설)::317605 || 리디북스(이벤트)::317605 || 카카오페이지(창작지원금)::317605,모픽(mofic)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(선투자)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 토스(소설)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 리디북스(이벤트)::(카카오)전직 랭커는 템빨로 레벨 업!::317605 || 카카오페이지(창작지원금)::(카카오)전직 랭커는 템빨로 레벨 업!::317605,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,네이버_장르,핵무기도만들어드릴까요,1,핵무기도 만들어 드릴까요? [단행본],,303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아,문피아::110907 || 카카오페이지(선투자)::110907,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,노벨피아 (소설),어서와마왕은처음이지,1,"어서 와, 마왕은 처음이지?",,,네이버_장르::247290 || 토스(소설)::247290 || 모픽(mofic)::247290 || 판무림::247290 || 카카오페이지(소설)::247290,"네이버_장르::어서 와, 마왕은 처음이지?::247290 || 토스(소설)::어서 와, 마왕은 처음이지?::247290 || 모픽(mofic)::어서 와, 마왕은 처음이지?::247290 || 판무림::어서 와, 마왕은 처음이지?::247290 || 카카오페이지(소설)::어서 와, 마왕은 처음이지?::247290",타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,리디북스(소설),마왕이나노머신을숨김,1,[e북]마왕이 나노머신을 숨김 1권,,317038::[카카오]마왕이 나노머신을 숨김 단행본::소설유통팀::김성경,모픽(mofic)::317038 || 미스터블루(소설)::317038 || 카카오페이지(선투자)::317038 || 리디북스(이벤트)::317038 || 카카오페이지(창작지원금)::317038,모픽(mofic)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 미스터블루(소설)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(선투자)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 리디북스(이벤트)::[카카오]마왕이 나노머신을 숨김 단행본::317038 || 카카오페이지(창작지원금)::[카카오]마왕이 나노머신을 숨김 단행본::317038,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,리디북스(소설),슈퍼스타누구도막을수없어,1,"[e북]슈퍼스타, 누구도 막을 수 없어!!! 1권",,303817::[CP오디오] 슈퍼스타 누구도 막을 수 없어(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::110469 || 윌라(오디오북)::110469,"카카오페이지(소설)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469 || 윌라(오디오북)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469",타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,리디북스(소설),용사는조용히살고싶다,1,[e북]용사는 조용히 살고 싶다 1권,,,북큐브(소설)::247291 || 리디북스(이벤트)::247291 || 교보문고(톡소다)::247291 || 북팔(소설)::247291 || 모픽(mofic)::247291,북큐브(소설)::용사는 조용히 살고 싶다::247291 || 리디북스(이벤트)::용사는 조용히 살고 싶다::247291 || 교보문고(톡소다)::용사는 조용히 살고 싶다::247291 || 북팔(소설)::용사는 조용히 살고 싶다::247291 || 모픽(mofic)::용사는 조용히 살고 싶다::247291,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,리디북스(소설),이름을세번부를때까지,1,[e북]이름을 세 번 부를 때까지,,114987::[정산정보없음]_이름을 세 번 부를 때까지::봄툰소설편집팀::허은지 || 109581::[연재] 이름을 세 번 부를 때까지::봄툰소설편집팀::허은지 || 326446::이름을 세 번 부를때까지::편집4팀::윤정혜 || 325695::이름을 세 번 부를 때까지::편집4팀::윤정혜,조아라(소설)::109581 || 에이블리(소설)::109581 || 원스토어(소설)::109581 || 블라이스_일반결제::109581 || 북팔(소설)::109581,조아라(소설)::[연재] 이름을 세 번 부를 때까지::109581 || 에이블리(소설)::[연재] 이름을 세 번 부를 때까지::109581 || 원스토어(소설)::[연재] 이름을 세 번 부를 때까지::109581 || 블라이스_일반결제::[연재] 이름을 세 번 부를 때까지::109581 || 북팔(소설)::[연재] 이름을 세 번 부를 때까지::109581,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,리디북스(소설),전생에천마였던드래곤,1,[e북]전생에 천마였던 드래곤 1권,,,노벨피아 (소설)::295600 || 블라이스_일반결제::295600 || 에피루스 이북클럽(B2C)::295600 || 미스터블루(소설)::295600 || 네이버_장르(광고수익)::295600,노벨피아 (소설)::전생에 천마였던 드래곤::295600 || 블라이스_일반결제::전생에 천마였던 드래곤::295600 || 에피루스 이북클럽(B2C)::전생에 천마였던 드래곤::295600 || 미스터블루(소설)::전생에 천마였던 드래곤::295600 || 네이버_장르(광고수익)::전생에 천마였던 드래곤::295600,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,모픽(mofic),sss급괴물사냥꾼,1,SSS급 괴물 사냥꾼,,,카카오페이지(선투자)::110995 || 카카오페이지(창작지원금)::110995,카카오페이지(선투자)::SSS급 괴물 사냥꾼::110995 || 카카오페이지(창작지원금)::SSS급 괴물 사냥꾼::110995,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,모픽(mofic),나홀로마법사,1,나 홀로 마법사,,,카카오페이지(선투자)::111915 || 알라딘(소설)(1068659313)::111915,카카오페이지(선투자)::나 홀로 마법사::111915 || 알라딘(소설)(1068659313)::나 홀로 마법사::111915,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,모픽(mofic),리턴오브로드,1,리턴 오브 로드,,,카카오페이지(창작지원금)::110746 || 카카오페이지(소설)::110746,카카오페이지(창작지원금)::리턴 오브 로드::110746 || 카카오페이지(소설)::리턴 오브 로드::110746,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,모픽(mofic),마왕군전입을명받았습니다,1,마왕군 전입을 명 받았습니다,,303800::[CP오디오] 마왕군 전입을 명 받았습니다(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::110466 || 윌라(오디오북)::110466,카카오페이지(소설)::마왕군 전입을 명 받았습니다::110466 || 윌라(오디오북)::마왕군 전입을 명 받았습니다::110466,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,모픽(mofic),마왕으로산다,1,마왕으로 산다,,303762::[CP오디오] 마왕으로 산다(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::109842 || 네이버_장르::109842 || Yes24(서점)::109842 || 구글(소설)::109842 || 네이버_연재(광고수익)::109842,카카오페이지(소설)::마왕으로 산다::109842 || 네이버_장르::마왕으로 산다::109842 || Yes24(서점)::마왕으로 산다::109842 || 구글(소설)::마왕으로 산다::109842 || 네이버_연재(광고수익)::마왕으로 산다::109842,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,모픽(mofic),만렙요원재벌이되다,1,만렙요원 : 재벌이 되다,,,알라딘(소설)(1068659313)::107801 || 네이버_장르::107801 || 토스(소설)::107801 || 에피루스 이북클럽(B2C)::107801 || 네이버_장르(광고수익)::107801,알라딘(소설)(1068659313)::만렙요원 : 재벌이 되다::107801 || 네이버_장르::만렙요원 : 재벌이 되다::107801 || 토스(소설)::만렙요원 : 재벌이 되다::107801 || 에피루스 이북클럽(B2C)::만렙요원 : 재벌이 되다::107801 || 네이버_장르(광고수익)::만렙요원 : 재벌이 되다::107801,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,모픽(mofic),슈퍼스타누구도막을수없어,1,"슈퍼스타, 누구도 막을 수 없어!!!!!!",,303817::[CP오디오] 슈퍼스타 누구도 막을 수 없어(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::110469 || 윌라(오디오북)::110469,"카카오페이지(소설)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469 || 윌라(오디오북)::슈퍼스타, 누구도 막을 수 없어!!!!!!::110469",타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,모픽(mofic),아빠의게임,1,아빠의 게임,,303820::[CP오디오] 아빠의 게임(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::110470 || 윌라(오디오북)::110470,카카오페이지(소설)::아빠의 게임::110470 || 윌라(오디오북)::아빠의 게임::110470,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,모픽(mofic),아포칼립스의유일한플레이어,1,아포칼립스의 유일한 플레이어,,,카카오페이지(소설)::308483,카카오페이지(소설)::아포칼립스의 유일한 플레이어::308483,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,모픽(mofic),연기를너무잘함,1,연기를 너무 잘함,,,유페이퍼::107827 || 토스(소설)::107827 || 판무림::107827 || 네이버_연재(광고수익)::107827 || 미스터블루(소설)::107827,유페이퍼::연기를 너무 잘함::107827 || 토스(소설)::연기를 너무 잘함::107827 || 판무림::연기를 너무 잘함::107827 || 네이버_연재(광고수익)::연기를 너무 잘함::107827 || 미스터블루(소설)::연기를 너무 잘함::107827,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,모픽(mofic),인간자체가강함,1,인간 자체가 강함,,303871::[CP오디오] 인간 자체가 강함(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::110471 || 윌라(오디오북)::110471,카카오페이지(소설)::인간 자체가 강함::110471 || 윌라(오디오북)::인간 자체가 강함::110471,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,모픽(mofic),전생에천마였던드래곤,1,전생에 천마였던 드래곤,,,노벨피아 (소설)::295600 || 블라이스_일반결제::295600 || 에피루스 이북클럽(B2C)::295600 || 미스터블루(소설)::295600 || 네이버_장르(광고수익)::295600,노벨피아 (소설)::전생에 천마였던 드래곤::295600 || 블라이스_일반결제::전생에 천마였던 드래곤::295600 || 에피루스 이북클럽(B2C)::전생에 천마였던 드래곤::295600 || 미스터블루(소설)::전생에 천마였던 드래곤::295600 || 네이버_장르(광고수익)::전생에 천마였던 드래곤::295600,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,모픽(mofic),핵무기도만들어드릴까요,1,핵무기도 만들어 드릴까요?,,303763::[CP웹툰] 핵무기도 만들어 드릴까요?::IP프로듀싱팀::노종아,문피아::110907 || 카카오페이지(선투자)::110907,문피아::핵무기도 만들어 드릴까요?::110907 || 카카오페이지(선투자)::핵무기도 만들어 드릴까요?::110907,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,무툰(소설 서비스),내가알던게임이아니다,1,내가 알던 게임이 아니다,,,미스터블루(소설)::109325 || 리디북스(이벤트)::109325 || 북큐브(소설)::109325 || 스낵북(알에스)::109325 || 판무림::109325,미스터블루(소설)::내가 알던 게임이 아니다::109325 || 리디북스(이벤트)::내가 알던 게임이 아니다::109325 || 북큐브(소설)::내가 알던 게임이 아니다::109325 || 스낵북(알에스)::내가 알던 게임이 아니다::109325 || 판무림::내가 알던 게임이 아니다::109325,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,무툰(소설 서비스),음공천하,1,음공천하,,312022::[카카오]음공천하 단행본::소설유통팀::김성경 || 110854::0_음공천하_서호_일반::소설편집팀::조원재,에피루스 이북클럽(B2C)::110854 || 모픽(mofic)::312022 || 리디북스(이벤트)::312022 || 카카오페이지(선투자)::312022 || 카카오페이지(창작지원금)::312022,에피루스 이북클럽(B2C)::0_음공천하_서호_일반::110854 || 모픽(mofic)::[카카오]음공천하 단행본::312022 || 리디북스(이벤트)::[카카오]음공천하 단행본::312022 || 카카오페이지(선투자)::[카카오]음공천하 단행본::312022 || 카카오페이지(창작지원금)::[카카오]음공천하 단행본::312022,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,무툰(소설 서비스),재벌집망나니대독자,1,재벌집 망나니 7대 독자,,,카카오페이지(창작지원금)::322006 || 리디북스(소설)::322006 || 문피아::322006 || 북큐브(소설)::322006 || 카카오페이지(소설)::322006,카카오페이지(창작지원금)::재벌집 망나니 7대 독자::322006 || 리디북스(소설)::재벌집 망나니 7대 독자::322006 || 문피아::재벌집 망나니 7대 독자::322006 || 북큐브(소설)::재벌집 망나니 7대 독자::322006 || 카카오페이지(소설)::재벌집 망나니 7대 독자::322006,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,무툰(소설 서비스),절망하고복종하라,1,절망하고 복종하라,,,알라딘(소설)(1068659313)::107832 || 밀리의 서재::107832 || 윌라(전자책)::107832 || 스낵북(알에스)::107832 || 판무림::107832,알라딘(소설)(1068659313)::절망하고 복종하라::107832 || 밀리의 서재::절망하고 복종하라::107832 || 윌라(전자책)::절망하고 복종하라::107832 || 스낵북(알에스)::절망하고 복종하라::107832 || 판무림::절망하고 복종하라::107832,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,무툰(소설 서비스),코인게이트를열었다,1,코인 게이트를 열었다,,,윌라(전자책)::247429 || 교보문고(소설)::247429 || 미소설::247429 || 미스터블루(소설)::247429 || 판무림::247429,윌라(전자책)::코인게이트를열었다::247429 || 교보문고(소설)::코인게이트를열었다::247429 || 미소설::코인게이트를열었다::247429 || 미스터블루(소설)::코인게이트를열었다::247429 || 판무림::코인게이트를열었다::247429,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,문피아,던전에서성자性者가하는일,1,던전에서 성자性者가 하는 일,,,조아라(소설)::112529 || 무툰(소설 서비스)::112529 || 밀리의 서재::112529 || 웹소설 하이북::112529 || 네이버_연재::112529,조아라(소설)::던전에서 성자性者가 하는 일::112529 || 무툰(소설 서비스)::던전에서 성자性者가 하는 일::112529 || 밀리의 서재::던전에서 성자性者가 하는 일::112529 || 웹소설 하이북::던전에서 성자性者가 하는 일::112529 || 네이버_연재::던전에서 성자性者가 하는 일::112529,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,문피아,마왕군전입을명받았습니다,1,마왕군 전입을 명 받았습니다 [D],,303800::[CP오디오] 마왕군 전입을 명 받았습니다(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::110466 || 윌라(오디오북)::110466,카카오페이지(소설)::마왕군 전입을 명 받았습니다::110466 || 윌라(오디오북)::마왕군 전입을 명 받았습니다::110466,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,문피아,코드네임사신,1,코드네임 사신,,,카카오페이지(소설)::160310 || Yes24(서점)::160310 || 모픽(mofic)::160310 || 미스터블루(소설)::160310 || 스낵북(알에스)::160310,카카오페이지(소설)::코드네임 사신::160310 || Yes24(서점)::코드네임 사신::160310 || 모픽(mofic)::코드네임 사신::160310 || 미스터블루(소설)::코드네임 사신::160310 || 스낵북(알에스)::코드네임 사신::160310,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,미소설,마왕으로산다,1,마왕으로 산다,,303762::[CP오디오] 마왕으로 산다(소설)::IP프로듀싱팀::노종아,카카오페이지(소설)::109842 || 네이버_장르::109842 || Yes24(서점)::109842 || 구글(소설)::109842 || 네이버_연재(광고수익)::109842,카카오페이지(소설)::마왕으로 산다::109842 || 네이버_장르::마왕으로 산다::109842 || Yes24(서점)::마왕으로 산다::109842 || 구글(소설)::마왕으로 산다::109842 || 네이버_연재(광고수익)::마왕으로 산다::109842,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
타채널 지급정산 기반 해당채널 보강 판단,타채널 exact 지급정산 보강 판단,미소설,중력술사아스께끼맨,1,중력술사 아스께끼맨,,,밀리의 서재::247247 || 미스터블루(소설)::247247 || 스낵북(알에스)::247247 || 웹소설 하이북::247247 || 원스토어(소설)::247247,밀리의 서재::중력술사 아스께끼맨::247247 || 미스터블루(소설)::중력술사 아스께끼맨::247247 || 스낵북(알에스)::중력술사 아스께끼맨::247247 || 웹소설 하이북::중력술사 아스께끼맨::247247 || 원스토어(소설)::중력술사 아스께끼맨::247247,타채널 콘텐츠ID/제목을 근거로 해당 판매채널 지급정산 생성 여부 판단
